sample-id	Locality	Host species	SVL	Weight	Elevation	Temperature	pH	Bio_1	Bio_9	Bio_10	Bio_11	Bio_12	Bio_13	Bio_14	Bio_15	Bio_16	Bio_17	Bio_18	Bio_19	Bio_2	Bio_3	Bio_4	Bio_5	Bio_6	Bio_7	Bio_8	Pp	Tmin	Tmax	DO
M-TaAl23	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	7.5	25	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-TaAl24	"Alchichica Lake, Puebla, Mexico"	Ambystoma taylori	3	0.5	2316	19.98	8.981666667	14.52	11.98	16.63	11.73	422	81	4	73.93	193	22	163	22	17.43	69.46	202.21	26	0.9	25.1	16.5	51.48	8.123448276	25.98275862	59.68
M-X1M01	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	12	69	2237	18.4	8.6	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	89.9
M-X1M02	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	9.5	57	2237	18.4	8.6	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	89.9
M-X1M03	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	11.5	66	2237	18.4	8.6	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	89.9
M-X1M04	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	11	76	2237	18.4	8.6	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	89.9
M-X1M05	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	10.5	66	2237	18.4	8.6	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	89.9
M-X1M06	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	10	55	2237	18.4	8.6	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	89.9
M-X1M07	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	11.5	70	2237	18.4	8.6	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	89.9
M-X2M02	"Mesocosm, Mexico City, Mexico"	Ambystoma mexicanum	7.2	14	2237	19.44666667	8.693333333	16.08	13.73	18.12	13.73	704	150	7	96.45	409	23	207	23	15.49	68.55	175.65	26.9	4.3	22.6	17.13	24.14172414	9.09362069	27.29827586	100.6666667
