sample-id	Locality	SampleType	Species	SampleName
MDuPa12	Patzcuaro	Axolotl	A. dumerilii	MDuPa12
MDuPa13	Patzcuaro	Axolotl	A. dumerilii	MDuPa13
MDuPa2	Patzcuaro	Axolotl	A. dumerilii	MDuPa2
MDuPa3	Patzcuaro	Axolotl	A. dumerilii	MDuPa3
MDuPa4	Patzcuaro	Axolotl	A. dumerilii	MDuPa4
MDuPa5	Patzcuaro	Axolotl	A. dumerilii	MDuPa5
MDuPa6	Patzcuaro	Axolotl	A. dumerilii	MDuPa6
MDuPa7	Patzcuaro	Axolotl	A. dumerilii	MDuPa7
MDuPa8	Patzcuaro	Axolotl	A. dumerilii	MDuPa8
MDuPa9	Patzcuaro	Axolotl	A. dumerilii	MDuPa9
MTaAl1	Alchichica	Axolotl	A. taylori	MTaAl1
MTaAl10	Alchichica	Axolotl	A. taylori	MTaAl10
MTaAl11	Alchichica	Axolotl	A. taylori	MTaAl11
MTaAl12	Alchichica	Axolotl	A. taylori	MTaAl12
MTaAl13	Alchichica	Axolotl	A. taylori	MTaAl13
MTaAl14	Alchichica	Axolotl	A. taylori	MTaAl14
MTaAl15	Alchichica	Axolotl	A. taylori	MTaAl15
MTaAl16	Alchichica	Axolotl	A. taylori	MTaAl16
MTaAl17	Alchichica	Axolotl	A. taylori	MTaAl17
MTaAl18	Alchichica	Axolotl	A. taylori	MTaAl18
MTaAl19	Alchichica	Axolotl	A. taylori	MTaAl19
MTaAl20	Alchichica	Axolotl	A. taylori	MTaAl20
MTaAl21	Alchichica	Axolotl	A. taylori	MTaAl21
MTaAl22	Alchichica	Axolotl	A. taylori	MTaAl22
MTaAl23	Alchichica	Axolotl	A. taylori	MTaAl23
MTaAl24	Alchichica	Axolotl	A. taylori	MTaAl24
MTaAl3	Alchichica	Axolotl	A. taylori	MTaAl3
MTaAl4	Alchichica	Axolotl	A. taylori	MTaAl4
MTaAl5	Alchichica	Axolotl	A. taylori	MTaAl5
MTaAl6	Alchichica	Axolotl	A. taylori	MTaAl6
MTaAl7	Alchichica	Axolotl	A. taylori	MTaAl7
MTaAl8	Alchichica	Axolotl	A. taylori	MTaAl8
MTaAl9	Alchichica	Axolotl	A. taylori	MTaAl9
MX1M1	CDMX	Axolotl	A. mexicanum	MX1M1
MX1M2	CDMX	Axolotl	A. mexicanum	MX1M2
MX1M3	CDMX	Axolotl	A. mexicanum	MX1M3
MX1M4	CDMX	Axolotl	A. mexicanum	MX1M4
MX1M5	CDMX	Axolotl	A. mexicanum	MX1M5
MX1M6	CDMX	Axolotl	A. mexicanum	MX1M6
MX1M7	CDMX	Axolotl	A. mexicanum	MX1M7
